range_bin,doppler_bin,power,threshold,range_m,velocity_mps
38,14,4.419406484346e-09,4.311145040284e-09,5546.1604730000,-199.0809291406
48,73,2.622754081247e-09,1.233251108884e-09,7045.1227630000,31.2283810417
47,73,2.530818000188e-09,1.249017263636e-09,6895.2265340000,31.2283810417
49,73,2.259203029413e-09,1.259427552142e-09,7195.0189920000,31.2283810417
46,73,2.124314948312e-09,1.303085750865e-09,6745.3303050000,31.2283810417
50,73,1.838725211925e-09,1.294763568221e-09,7344.9152210000,31.2283810417
34,29,1.730111315874e-09,1.695582644720e-09,4946.5755570000,-140.5277146875
84,29,1.632949612276e-09,1.626529105553e-09,12441.3870070000,-140.5277146875
45,73,1.605736685229e-09,1.340410655578e-09,6595.4340760000,31.2283810417
48,72,1.403709449723e-09,1.250693700440e-09,7045.1227630000,27.3248334115
51,73,1.356222453314e-09,1.277107480583e-09,7494.8114500000,31.2283810417
47,72,1.343042124656e-09,1.264673629214e-09,6895.2265340000,27.3248334115
