range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.380100541663e-09,1.087033976210e-09,6895.2265340000,31.2283810417
92,116,2.356398134396e-09,2.033554820744e-09,13640.5568390000,199.0809291406
48,73,2.313678586336e-09,1.123634142001e-09,7045.1227630000,31.2283810417
93,116,2.160852049947e-09,1.982690678740e-09,13790.4530680000,199.0809291406
46,73,2.024145745417e-09,1.109832553120e-09,6745.3303050000,31.2283810417
49,73,1.950781527084e-09,1.202427808581e-09,7195.0189920000,31.2283810417
47,72,1.519652864741e-09,1.078451145129e-09,6895.2265340000,27.3248334115
45,73,1.512540360757e-09,1.148564799434e-09,6595.4340760000,31.2283810417
50,73,1.483377706666e-09,1.270678238572e-09,7344.9152210000,31.2283810417
48,72,1.472272913230e-09,1.105884116608e-09,7045.1227630000,27.3248334115
46,72,1.286193600577e-09,1.107344778210e-09,6745.3303050000,27.3248334115
49,72,1.208509024460e-09,1.174981502548e-09,7195.0189920000,27.3248334115
62,50,2.544456111503e-10,2.206325271952e-10,9143.6699690000,-58.5532144531
61,51,2.525876709315e-10,2.305568141078e-10,8993.7737400000,-54.6496668229
61,50,2.443416259139e-10,2.366808984433e-10,8993.7737400000,-58.5532144531
