run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.334666,0.639741,0.669963,1.309704,0.105908,0.237130,0.343038,0.302611,3.399240,9
2,1.121222,3.581408,2.396741,5.978149,0.979796,2.522166,3.501962,2.810241,13.570611,9
3,0.684259,2.478962,1.547333,4.026295,0.856185,1.626018,2.482203,0.335759,7.656962,9
4,0.724574,0.705907,1.182982,1.888889,0.196444,0.249944,0.446388,0.311074,4.484149,9
5,0.707111,0.043796,0.493871,0.537667,0.119444,0.218500,0.337944,0.276463,1.982389,9
