range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.362356399071e-09,1.357605828333e-09,6895.2265340000,31.2283810417
48,73,2.321403986666e-09,1.379767930783e-09,7045.1227630000,31.2283810417
46,73,2.137186649746e-09,1.331319502396e-09,6745.3303050000,31.2283810417
49,73,2.078084569101e-09,1.396400534752e-09,7195.0189920000,31.2283810417
45,73,1.741723764657e-09,1.306276425773e-09,6595.4340760000,31.2283810417
50,73,1.726701024847e-09,1.384570639153e-09,7344.9152210000,31.2283810417
44,73,1.268405756906e-09,1.250754792577e-09,6445.5378470000,31.2283810417
94,27,8.332722490182e-10,7.880715357136e-10,13940.3492970000,-148.3348099479
95,27,7.129247445999e-10,6.860934154668e-10,14090.2455260000,-148.3348099479
