range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.312708291257e-09,1.325586717378e-09,7045.1227630000,31.2283810417
47,73,2.247983172520e-09,1.363466592697e-09,6895.2265340000,31.2283810417
49,73,2.103903828881e-09,1.317105455074e-09,7195.0189920000,31.2283810417
46,73,1.923843995420e-09,1.400812557572e-09,6745.3303050000,31.2283810417
50,73,1.630451352916e-09,1.316868425089e-09,7344.9152210000,31.2283810417
48,72,1.531722059612e-09,1.259063005922e-09,7045.1227630000,27.3248334115
45,73,1.523653173985e-09,1.402467265403e-09,6595.4340760000,31.2283810417
47,72,1.468780705092e-09,1.292338355841e-09,6895.2265340000,27.3248334115
49,72,1.430001976093e-09,1.254339533517e-09,7195.0189920000,27.3248334115
45,31,1.361705774033e-09,1.281656013706e-09,6595.4340760000,-132.7206194271
