run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.478445,0.360000,0.682333,1.042333,0.115222,0.225796,0.341018,0.308278,3.285778,9
2,1.035129,2.482463,1.564926,4.047389,0.232334,0.210760,0.443094,0.297852,5.951389,9
3,0.656167,0.044407,0.481241,0.525648,0.134963,0.198315,0.333278,0.281519,1.915981,9
4,0.688648,0.050185,0.478056,0.528241,0.138482,0.215963,0.354445,0.289629,1.985315,9
5,0.660334,0.043037,0.566463,0.609500,0.133574,0.219851,0.353425,0.287111,2.039018,9
