range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.456976873179e-09,1.202995507661e-09,7045.1227630000,31.2283810417
49,73,2.388045230462e-09,1.198735049312e-09,7195.0189920000,31.2283810417
47,73,2.233761916315e-09,1.226255010749e-09,6895.2265340000,31.2283810417
50,73,2.054581799435e-09,1.205312400561e-09,7344.9152210000,31.2283810417
46,73,1.813027991645e-09,1.243598035637e-09,6745.3303050000,31.2283810417
51,73,1.580408260147e-09,1.197131788962e-09,7494.8114500000,31.2283810417
45,73,1.368099657166e-09,1.226037785918e-09,6595.4340760000,31.2283810417
48,72,1.334505222445e-09,1.205856594175e-09,7045.1227630000,27.3248334115
47,72,1.269118958097e-09,1.221979010958e-09,6895.2265340000,27.3248334115
49,72,1.212780623806e-09,1.209390886530e-09,7195.0189920000,27.3248334115
