range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.437201615059e-09,1.170551394889e-09,7045.1227630000,31.2283810417
49,73,2.326619239951e-09,1.161047901078e-09,7195.0189920000,31.2283810417
47,73,2.187365346753e-09,1.214660972443e-09,6895.2265340000,31.2283810417
50,73,1.936260198807e-09,1.180211634275e-09,7344.9152210000,31.2283810417
46,73,1.718789752761e-09,1.264943373050e-09,6745.3303050000,31.2283810417
51,73,1.410576291402e-09,1.198013423597e-09,7494.8114500000,31.2283810417
48,72,1.296318244119e-09,1.172543193596e-09,7045.1227630000,27.3248334115
49,72,1.234839119758e-09,1.162554157019e-09,7195.0189920000,27.3248334115
94,15,1.180919305145e-09,1.151579545738e-09,13940.3492970000,-195.1773815104
