run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.516703,0.357333,0.702185,1.059518,0.132334,0.227556,0.359890,0.300240,3.353093,10
2,0.921259,0.155852,0.474203,0.630055,0.145834,0.224796,0.370630,1.999630,4.051055,10
3,0.669185,3.316574,1.565778,4.882352,0.834519,2.029019,2.863538,1.666888,10.214944,10
4,0.710315,0.045629,0.647685,0.693314,0.162593,0.203889,0.366482,0.285297,2.184722,10
5,0.711204,0.043667,0.526445,0.570112,0.137945,0.222667,0.360612,0.284852,2.052018,10
