range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.458257246989e-09,1.323132921896e-09,7045.1227630000,31.2283810417
47,73,2.393346124180e-09,1.308390009169e-09,6895.2265340000,31.2283810417
49,73,2.245046656605e-09,1.370145187508e-09,7195.0189920000,31.2283810417
46,73,1.995789245626e-09,1.321178811007e-09,6745.3303050000,31.2283810417
94,21,1.952257637796e-09,1.635010675566e-09,13940.3492970000,-171.7560957292
50,73,1.853095880014e-09,1.402529771062e-09,7344.9152210000,31.2283810417
95,21,1.792735285371e-09,1.544727980784e-09,14090.2455260000,-171.7560957292
48,72,1.487615331543e-09,1.322645943406e-09,7045.1227630000,27.3248334115
45,73,1.481442818784e-09,1.323316588010e-09,6595.4340760000,31.2283810417
47,72,1.463713015771e-09,1.307145472651e-09,6895.2265340000,27.3248334115
51,73,1.422239184445e-09,1.389424129138e-09,7494.8114500000,31.2283810417
