run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,2.014796,0.363704,0.627834,0.991538,0.118351,0.241704,0.360055,0.306593,3.787981,11
2,0.779000,0.042574,0.466000,0.508574,0.125593,0.222852,0.348445,0.383352,2.147518,11
3,0.731685,0.038278,0.467871,0.506149,0.141759,0.201685,0.343444,0.284352,1.987445,11
4,0.732741,0.038037,0.465685,0.503722,0.190352,0.205407,0.395759,0.285741,2.040851,11
5,0.736056,0.039870,0.478944,0.518814,0.119704,0.224759,0.344463,0.283888,2.007537,11
