range_bin,doppler_bin,power,threshold,range_m,velocity_mps
68,11,4.106250374957e-09,3.571586130764e-09,10043.0473430000,-210.7915720313
69,11,3.592377860762e-09,3.574711008412e-09,10192.9435720000,-210.7915720313
48,73,2.317096668886e-09,1.072511992909e-09,7045.1227630000,31.2283810417
47,73,2.245096872766e-09,1.082904045960e-09,6895.2265340000,31.2283810417
49,73,2.001948219337e-09,1.124624218347e-09,7195.0189920000,31.2283810417
46,73,1.797508755870e-09,1.138835900219e-09,6745.3303050000,31.2283810417
50,73,1.554282761824e-09,1.205667632960e-09,7344.9152210000,31.2283810417
93,15,1.476833820645e-09,1.161319366607e-09,13790.4530680000,-195.1773815104
94,15,1.476487694600e-09,1.046366867970e-09,13940.3492970000,-195.1773815104
48,72,1.356356825770e-09,1.069044662198e-09,7045.1227630000,27.3248334115
47,72,1.341949050483e-09,1.074494945799e-09,6895.2265340000,27.3248334115
45,73,1.301638571633e-09,1.181682514413e-09,6595.4340760000,31.2283810417
95,15,1.228166803360e-09,9.670604944200e-10,14090.2455260000,-195.1773815104
46,72,1.141746276310e-09,1.124028790367e-09,6745.3303050000,27.3248334115
94,56,6.535627683097e-11,4.757465185770e-11,13940.3492970000,-35.1319286719
93,56,6.339040305935e-11,5.266108382136e-11,13790.4530680000,-35.1319286719
95,56,5.251186731360e-11,4.752803562409e-11,14090.2455260000,-35.1319286719
