range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,3.131002078220e-09,1.415399575574e-09,7045.1227630000,31.2283810417
47,73,2.906923763989e-09,1.434093897205e-09,6895.2265340000,31.2283810417
49,73,2.840348116338e-09,1.454145776908e-09,7195.0189920000,31.2283810417
46,73,2.368983218888e-09,1.488846278607e-09,6745.3303050000,31.2283810417
50,73,2.236469773169e-09,1.520012224804e-09,7344.9152210000,31.2283810417
45,73,1.688001564451e-09,1.516412360779e-09,6595.4340760000,31.2283810417
48,72,1.577332566247e-09,1.423242949929e-09,7045.1227630000,27.3248334115
51,73,1.569628165611e-09,1.547069982534e-09,7494.8114500000,31.2283810417
47,72,1.513203360458e-09,1.441683293682e-09,6895.2265340000,27.3248334115
46,92,1.123536807776e-09,1.006954488821e-09,6745.3303050000,105.3957860156
45,92,1.040118022677e-09,9.789067869616e-10,6595.4340760000,105.3957860156
