range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.385357887575e-09,1.239938602605e-09,7045.1227630000,31.2283810417
47,73,2.367061013834e-09,1.252455442514e-09,6895.2265340000,31.2283810417
49,73,2.153912315073e-09,1.239831435764e-09,7195.0189920000,31.2283810417
46,73,2.100667742275e-09,1.271025456181e-09,6745.3303050000,31.2283810417
50,73,1.711468455249e-09,1.233859136713e-09,7344.9152210000,31.2283810417
45,73,1.645267821414e-09,1.267865966289e-09,6595.4340760000,31.2283810417
48,72,1.332542893874e-09,1.216754467590e-09,7045.1227630000,27.3248334115
47,72,1.310630509381e-09,1.227880585316e-09,6895.2265340000,27.3248334115
51,73,1.275324042352e-09,1.205748286239e-09,7494.8114500000,31.2283810417
49,72,1.271583397576e-09,1.216616679346e-09,7195.0189920000,27.3248334115
39,95,1.029940034298e-09,1.017867201043e-09,5696.0567020000,117.1064289063
8,90,6.879997970356e-10,6.847251625856e-10,1049.2736030000,97.5886907552
64,48,5.554916979760e-10,5.131698086010e-10,9443.4624270000,-66.3603097135
17,83,4.065095789475e-10,3.235756186164e-10,2398.3396640000,70.2638573438
16,83,3.965569921816e-10,2.990579605338e-10,2248.4434350000,70.2638573438
