run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,2.603760,4.198667,1.484518,5.683185,0.120518,0.228370,0.348888,0.315037,9.085074,10
2,0.838833,0.043703,0.476297,0.520000,0.156889,0.279481,0.436370,0.310074,2.236740,10
3,0.790741,0.037796,0.476389,0.514185,0.149704,0.202704,0.352408,0.296167,2.075629,10
4,1.069518,2.541556,1.902482,4.444038,0.809222,1.297703,2.106925,0.307686,8.066167,10
5,0.791666,0.039815,0.471371,0.511186,0.128222,0.271111,0.399333,0.316889,2.145981,10
