run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.144185,0.387111,0.694444,1.081555,0.119796,0.349112,0.468908,0.315241,3.125666,15
2,0.873167,0.038148,0.490296,0.528444,0.126222,0.221741,0.347963,0.297556,2.175148,15
3,0.759186,0.038203,0.597167,0.635370,0.159777,0.203870,0.363647,0.379204,2.261407,15
4,0.724945,0.037203,0.638481,0.675684,0.154592,0.203056,0.357648,0.291648,2.173722,15
5,0.710111,0.036555,0.521703,0.558258,0.128500,0.222074,0.350574,0.292814,2.036000,15
