range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,1.932916986992e-09,1.068911816542e-09,7045.1227630000,31.2283810417
47,73,1.912295849669e-09,1.098221617152e-09,6895.2265340000,31.2283810417
49,73,1.720513504753e-09,1.041830181680e-09,7195.0189920000,31.2283810417
46,73,1.688625066931e-09,1.118124041934e-09,6745.3303050000,31.2283810417
45,73,1.399452155342e-09,1.102006291791e-09,6595.4340760000,31.2283810417
50,73,1.386696716034e-09,1.017376688603e-09,7344.9152210000,31.2283810417
87,89,1.120594796712e-09,1.018226463052e-09,12891.0756940000,93.6851431250
86,89,1.112117698240e-09,1.106027904583e-09,12741.1794650000,93.6851431250
44,73,1.098610223329e-09,1.041237670015e-09,6445.5378470000,31.2283810417
88,89,1.048086277417e-09,9.586591275837e-10,13040.9719230000,93.6851431250
89,90,1.014984646078e-09,9.146729717615e-10,13190.8681520000,97.5886907552
88,90,1.009100450258e-09,9.134881097324e-10,13040.9719230000,97.5886907552
