range_bin,doppler_bin,power,threshold,range_m,velocity_mps
16,110,2.707781110258e-09,1.927064311847e-09,2248.4434350000,175.6596433594
15,110,2.615185512207e-09,2.115119775272e-09,2098.5472060000,175.6596433594
17,110,2.317761783680e-09,1.983033078326e-09,2398.3396640000,175.6596433594
48,73,2.287750896595e-09,1.051341867840e-09,7045.1227630000,31.2283810417
47,73,2.274537355538e-09,1.049772525672e-09,6895.2265340000,31.2283810417
49,73,1.923903948152e-09,1.084987605428e-09,7195.0189920000,31.2283810417
46,73,1.923304203840e-09,1.086826203778e-09,6745.3303050000,31.2283810417
50,73,1.477417118342e-09,1.109076424700e-09,7344.9152210000,31.2283810417
45,73,1.469996559901e-09,1.127471340844e-09,6595.4340760000,31.2283810417
47,72,1.091162532770e-09,1.038783339452e-09,6895.2265340000,27.3248334115
48,72,1.064455845116e-09,1.042878376478e-09,7045.1227630000,27.3248334115
