range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.542901355996e-09,1.139701684328e-09,6895.2265340000,31.2283810417
48,73,2.432085204294e-09,1.156836343572e-09,7045.1227630000,31.2283810417
77,109,2.211261609317e-09,2.141374279204e-09,11392.1134040000,171.7560957292
46,73,2.129847451485e-09,1.179941510839e-09,6745.3303050000,31.2283810417
49,73,1.993116436746e-09,1.228364018519e-09,7195.0189920000,31.2283810417
45,73,1.662939337293e-09,1.243251598517e-09,6595.4340760000,31.2283810417
50,73,1.511504769513e-09,1.277886621317e-09,7344.9152210000,31.2283810417
47,72,1.303985799585e-09,1.156308334187e-09,6895.2265340000,27.3248334115
48,72,1.243486844500e-09,1.168025342675e-09,7045.1227630000,27.3248334115
92,48,4.458167925501e-10,4.309710983649e-10,13640.5568390000,-66.3603097135
