range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.608782214138e-09,1.185757977401e-09,6895.2265340000,31.2283810417
48,73,2.577170922220e-09,1.197034534676e-09,7045.1227630000,31.2283810417
46,73,2.244458377386e-09,1.212797667062e-09,6745.3303050000,31.2283810417
49,73,2.180886951459e-09,1.243039257110e-09,7195.0189920000,31.2283810417
45,73,1.808040422780e-09,1.253592784777e-09,6595.4340760000,31.2283810417
50,73,1.672485823875e-09,1.285199699742e-09,7344.9152210000,31.2283810417
47,72,1.260476238330e-09,1.192474235181e-09,6895.2265340000,27.3248334115
48,72,1.225713384101e-09,1.208166668049e-09,7045.1227630000,27.3248334115
75,53,3.073313564799e-10,2.515080484281e-10,11092.3209460000,-46.8425715625
76,53,3.011292609514e-10,2.703799917290e-10,11242.2171750000,-46.8425715625
74,53,2.883798398319e-10,2.576844935666e-10,10942.4247170000,-46.8425715625
