range_bin,doppler_bin,power,threshold,range_m,velocity_mps
12,9,2.466073952005e-09,2.365615437230e-09,1648.8585190000,-218.5986672917
11,9,2.402057513532e-09,2.139849075375e-09,1498.9622900000,-218.5986672917
48,73,2.328876235483e-09,1.182690361147e-09,7045.1227630000,31.2283810417
47,73,2.291422889976e-09,1.206068241607e-09,6895.2265340000,31.2283810417
26,113,2.197985914688e-09,2.036607367960e-09,3747.4057250000,187.3702862500
49,73,2.068419354216e-09,1.205117487761e-09,7195.0189920000,31.2283810417
46,73,1.840108012586e-09,1.255612535237e-09,6745.3303050000,31.2283810417
50,73,1.669750622241e-09,1.234157065317e-09,7344.9152210000,31.2283810417
48,72,1.547612629882e-09,1.148017685318e-09,7045.1227630000,27.3248334115
47,72,1.434439052095e-09,1.178001136264e-09,6895.2265340000,27.3248334115
49,72,1.404791571814e-09,1.162270370695e-09,7195.0189920000,27.3248334115
45,73,1.369407802238e-09,1.281244464482e-09,6595.4340760000,31.2283810417
63,97,1.106825307910e-09,1.081345751496e-09,9293.5661980000,124.9135241667
94,86,6.728428852339e-10,6.488125112815e-10,13940.3492970000,81.9745002344
19,48,4.921428343751e-10,4.612601328689e-10,2698.1321220000,-66.3603097135
25,74,1.600831372226e-10,1.213498760194e-10,3597.5094960000,35.1319286719
24,74,1.534915276979e-10,1.189849712928e-10,3447.6132670000,35.1319286719
