range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.738179907038e-09,1.308753198939e-09,6895.2265340000,31.2283810417
48,73,2.580841245944e-09,1.356819534019e-09,7045.1227630000,31.2283810417
46,73,2.483252066907e-09,1.297125248308e-09,6745.3303050000,31.2283810417
28,28,2.419972403205e-09,2.218632776141e-09,4047.1981830000,-144.4312623177
49,73,2.138849938653e-09,1.408463721145e-09,7195.0189920000,31.2283810417
45,73,2.007148557204e-09,1.308904140195e-09,6595.4340760000,31.2283810417
50,73,1.645864632084e-09,1.411917670973e-09,7344.9152210000,31.2283810417
44,73,1.480049127610e-09,1.307824948130e-09,6445.5378470000,31.2283810417
47,72,1.384401244414e-09,1.342723088427e-09,6895.2265340000,27.3248334115
