range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.745559399635e-09,1.386765719755e-09,7045.1227630000,31.2283810417
47,73,2.658738377125e-09,1.397049594372e-09,6895.2265340000,31.2283810417
49,73,2.469279658590e-09,1.398125705264e-09,7195.0189920000,31.2283810417
46,73,2.247434384402e-09,1.428814310336e-09,6745.3303050000,31.2283810417
50,73,2.031189414395e-09,1.414339446471e-09,7344.9152210000,31.2283810417
45,73,1.775282152093e-09,1.443478156279e-09,6595.4340760000,31.2283810417
82,29,1.584453780084e-09,1.423016937528e-09,12141.5945490000,-140.5277146875
48,72,1.555242627024e-09,1.411013946096e-09,7045.1227630000,27.3248334115
51,73,1.496471934016e-09,1.383377801654e-09,7494.8114500000,31.2283810417
47,72,1.439359822069e-09,1.421123512216e-09,6895.2265340000,27.3248334115
60,89,1.122195655165e-09,1.083194148916e-09,8843.8775110000,93.6851431250
