range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.487273006468e-09,1.209464332337e-09,6895.2265340000,31.2283810417
48,73,2.419041430853e-09,1.213960907209e-09,7045.1227630000,31.2283810417
46,73,2.140419689681e-09,1.228469548358e-09,6745.3303050000,31.2283810417
49,73,2.082463262232e-09,1.239114866188e-09,7195.0189920000,31.2283810417
50,73,1.689804508564e-09,1.248862865295e-09,7344.9152210000,31.2283810417
45,73,1.679481503871e-09,1.245974336749e-09,6595.4340760000,31.2283810417
51,73,1.229975183516e-09,1.203534676562e-09,7494.8114500000,31.2283810417
