range_bin,doppler_bin,power,threshold,range_m,velocity_mps
55,10,3.720623508963e-09,3.192812562017e-09,8094.3963660000,-214.6951196615
56,10,3.217315845955e-09,3.115804849274e-09,8244.2925950000,-214.6951196615
47,73,1.998452799664e-09,1.204634957345e-09,6895.2265340000,31.2283810417
48,73,1.958762159766e-09,1.226053386151e-09,7045.1227630000,31.2283810417
49,73,1.789878211542e-09,1.236021753958e-09,7195.0189920000,31.2283810417
46,73,1.750482883048e-09,1.182988781561e-09,6745.3303050000,31.2283810417
50,73,1.516588511441e-09,1.204211056887e-09,7344.9152210000,31.2283810417
45,73,1.412194428529e-09,1.158087362176e-09,6595.4340760000,31.2283810417
51,73,1.234778122461e-09,1.135546556036e-09,7494.8114500000,31.2283810417
47,72,1.148102651691e-09,1.123958402902e-09,6895.2265340000,27.3248334115
