range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.481056458545e-09,1.386142698583e-09,7045.1227630000,31.2283810417
47,73,2.452232511757e-09,1.401655892809e-09,6895.2265340000,31.2283810417
49,73,2.201643005149e-09,1.381703382474e-09,7195.0189920000,31.2283810417
46,73,2.169780458605e-09,1.418694929272e-09,6745.3303050000,31.2283810417
34,8,2.081079223496e-09,2.036652895228e-09,4946.5755570000,-222.5022149219
45,73,1.731679508170e-09,1.404479127333e-09,6595.4340760000,31.2283810417
50,73,1.707501903039e-09,1.384322800118e-09,7344.9152210000,31.2283810417
48,72,1.546730097710e-09,1.365649557097e-09,7045.1227630000,27.3248334115
47,72,1.530993155201e-09,1.383464981216e-09,6895.2265340000,27.3248334115
49,72,1.457618867562e-09,1.357802754746e-09,7195.0189920000,27.3248334115
68,27,1.427962719961e-09,1.408518022281e-09,10043.0473430000,-148.3348099479
67,27,1.401188362024e-09,1.384030731931e-09,9893.1511140000,-148.3348099479
87,42,5.898059556107e-10,5.840194373843e-10,12891.0756940000,-89.7815954948
