range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.209298109797e-09,1.118960770186e-09,6895.2265340000,31.2283810417
48,73,2.045954978960e-09,1.148371629689e-09,7045.1227630000,31.2283810417
46,73,2.018580218106e-09,1.104967723080e-09,6745.3303050000,31.2283810417
49,73,1.727116776302e-09,1.175374199163e-09,7195.0189920000,31.2283810417
45,73,1.653284536259e-09,1.106222134810e-09,6595.4340760000,31.2283810417
50,73,1.350131374983e-09,1.153344823506e-09,7344.9152210000,31.2283810417
44,73,1.255707349262e-09,1.094547844101e-09,6445.5378470000,31.2283810417
47,72,1.175286982059e-09,1.133093057080e-09,6895.2265340000,27.3248334115
