range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.365201546230e-09,1.352675917940e-09,7045.1227630000,31.2283810417
47,73,2.340759483235e-09,1.320827752744e-09,6895.2265340000,31.2283810417
49,73,2.086001560452e-09,1.379584877081e-09,7195.0189920000,31.2283810417
46,73,2.045438814571e-09,1.308888553138e-09,6745.3303050000,31.2283810417
50,73,1.760217869379e-09,1.389744660399e-09,7344.9152210000,31.2283810417
45,73,1.592824648094e-09,1.299410663399e-09,6595.4340760000,31.2283810417
15,24,1.505967468611e-09,1.475618329921e-09,2098.5472060000,-160.0454528385
47,72,1.399534385670e-09,1.289170020260e-09,6895.2265340000,27.3248334115
48,72,1.392876602107e-09,1.315641245182e-09,7045.1227630000,27.3248334115
94,46,4.451073021752e-10,4.342761312491e-10,13940.3492970000,-74.1674049740
