run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.814667,0.364518,0.657537,1.022055,0.117889,0.241944,0.359833,0.379334,3.691704,8
2,1.159223,0.157703,0.473574,0.631277,0.147833,0.236945,0.384778,0.496463,2.802463,8
3,0.744852,0.044852,0.471426,0.516278,0.149889,0.205926,0.355815,0.290445,2.034759,8
4,0.681056,0.045944,0.528148,0.574092,0.147889,0.206222,0.354111,0.295426,2.029611,8
5,0.660555,0.045185,0.479278,0.524463,0.118611,0.217907,0.336518,0.284111,1.930815,8
