range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.123042080597e-09,1.031877012581e-09,7045.1227630000,31.2283810417
47,73,2.086486810600e-09,1.023696750005e-09,6895.2265340000,31.2283810417
49,73,1.897928532159e-09,1.057667546219e-09,7195.0189920000,31.2283810417
46,73,1.762512492431e-09,1.035664636606e-09,6745.3303050000,31.2283810417
50,73,1.540113381372e-09,1.074545266303e-09,7344.9152210000,31.2283810417
45,73,1.315399350618e-09,1.042119996833e-09,6595.4340760000,31.2283810417
48,72,1.276249711400e-09,1.039216968247e-09,7045.1227630000,27.3248334115
47,72,1.210593431450e-09,1.031489854526e-09,6895.2265340000,27.3248334115
51,73,1.174777259641e-09,1.056995531510e-09,7494.8114500000,31.2283810417
49,72,1.140625582287e-09,1.063893130108e-09,7195.0189920000,27.3248334115
18,78,2.881694643318e-10,2.879178728247e-10,2548.2358930000,50.7461191927
