range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.429906459374e-09,1.217249139588e-09,7045.1227630000,31.2283810417
47,73,2.350093067007e-09,1.238258485364e-09,6895.2265340000,31.2283810417
49,73,2.184209687137e-09,1.227865314255e-09,7195.0189920000,31.2283810417
46,73,2.016241358074e-09,1.270934677945e-09,6745.3303050000,31.2283810417
84,121,1.885721760595e-09,1.505165600946e-09,12441.3870070000,218.5986672917
83,121,1.758683689038e-09,1.546917289918e-09,12291.4907780000,218.5986672917
50,73,1.729348052622e-09,1.251584294489e-09,7344.9152210000,31.2283810417
92,102,1.701244774297e-09,1.593007429676e-09,13640.5568390000,144.4312623177
93,102,1.526494173386e-09,1.508803097743e-09,13790.4530680000,144.4312623177
45,73,1.518486137907e-09,1.280837918977e-09,6595.4340760000,31.2283810417
48,72,1.379219482522e-09,1.222088681119e-09,7045.1227630000,27.3248334115
95,21,1.306796861491e-09,1.037737541488e-09,14090.2455260000,-171.7560957292
49,72,1.289023190721e-09,1.235206708262e-09,7195.0189920000,27.3248334115
47,72,1.260003680698e-09,1.234248705458e-09,6895.2265340000,27.3248334115
30,70,6.838825649308e-11,6.762562350563e-11,4346.9906410000,19.5177381510
