run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.918018,0.349500,0.866222,1.215722,0.149648,0.230852,0.380500,0.298185,3.926926,10
2,0.924518,0.042851,0.485814,0.528665,0.136166,0.221611,0.357777,0.288741,2.230352,10
3,1.561612,0.055871,0.754408,0.810279,0.208000,0.203704,0.411704,0.278760,3.190834,10
4,0.727185,0.343574,0.482426,0.826000,0.167500,0.204907,0.372407,0.674982,2.727074,10
5,0.680074,0.044833,0.477556,0.522389,0.123908,0.283740,0.407648,0.309667,2.048278,10
