range_bin,doppler_bin,power,threshold,range_m,velocity_mps
13,106,2.249886858949e-09,1.880345500228e-09,1798.7547480000,160.0454528385
12,106,2.091005429740e-09,1.923626982322e-09,1648.8585190000,160.0454528385
14,106,2.044414294114e-09,1.915088139842e-09,1948.6509770000,160.0454528385
9,100,1.837550723132e-09,1.614703877406e-09,1199.1698320000,136.6241670573
48,73,1.800128143456e-09,9.074175103831e-10,7045.1227630000,31.2283810417
10,100,1.769944161538e-09,1.643963817696e-09,1349.0660610000,136.6241670573
47,73,1.740012565039e-09,9.059426371720e-10,6895.2265340000,31.2283810417
8,100,1.712859877899e-09,1.622331039183e-09,1049.2736030000,136.6241670573
49,73,1.554876933701e-09,9.341852008356e-10,7195.0189920000,31.2283810417
46,73,1.420374895241e-09,9.261915574990e-10,6745.3303050000,31.2283810417
50,73,1.232262247624e-09,9.617773873004e-10,7344.9152210000,31.2283810417
45,73,1.074847713639e-09,9.307444643362e-10,6595.4340760000,31.2283810417
48,72,9.752237941675e-10,8.817227546901e-10,7045.1227630000,27.3248334115
47,72,9.390076477442e-10,8.835152313650e-10,6895.2265340000,27.3248334115
