range_bin,doppler_bin,power,threshold,range_m,velocity_mps
52,13,2.967020552516e-09,2.738231070529e-09,7644.7076790000,-202.9844767708
53,12,2.916257797777e-09,2.788510889187e-09,7794.6039080000,-206.8880244010
53,13,2.908908156146e-09,2.664740926363e-09,7794.6039080000,-202.9844767708
48,73,1.735970159504e-09,9.399633670566e-10,7045.1227630000,31.2283810417
47,73,1.716848428462e-09,9.852087409423e-10,6895.2265340000,31.2283810417
49,73,1.581627576546e-09,9.381193654232e-10,7195.0189920000,31.2283810417
46,73,1.429786676163e-09,1.044095665168e-09,6745.3303050000,31.2283810417
50,73,1.225754575440e-09,9.627897829943e-10,7344.9152210000,31.2283810417
45,73,1.157676012070e-09,1.076351630661e-09,6595.4340760000,31.2283810417
48,72,1.148866886474e-09,9.210271786260e-10,7045.1227630000,27.3248334115
47,72,1.125986312308e-09,9.655677638883e-10,6895.2265340000,27.3248334115
49,72,1.044072409589e-09,9.191007164810e-10,7195.0189920000,27.3248334115
95,33,9.805385084522e-10,7.364743146720e-10,14090.2455260000,-124.9135241667
94,33,8.622418835028e-10,8.359178617694e-10,13940.3492970000,-124.9135241667
