run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.473222,3.594759,2.552167,6.146926,0.939333,2.526129,3.465462,2.132555,13.380778,13
2,0.792778,2.421018,1.910574,4.331592,0.933463,1.960648,2.894111,2.178241,10.381741,13
3,0.686963,0.612889,0.480926,1.093815,0.127759,0.219277,0.347036,0.287686,2.543519,13
4,0.711704,0.035500,0.475871,0.511371,0.124722,0.218963,0.343685,0.284278,1.976166,13
5,0.928704,0.042074,0.484074,0.526148,0.130981,0.221833,0.352814,0.287722,2.223963,13
