range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.543534785627e-09,1.189861380888e-09,6895.2265340000,31.2283810417
48,73,2.466356329593e-09,1.221672134695e-09,7045.1227630000,31.2283810417
46,73,2.248144460380e-09,1.207114993459e-09,6745.3303050000,31.2283810417
49,73,2.085103672814e-09,1.278907716383e-09,7195.0189920000,31.2283810417
35,113,1.930436655062e-09,1.886664508599e-09,5096.4717860000,187.3702862500
36,113,1.858699892743e-09,1.722740634167e-09,5246.3680150000,187.3702862500
45,73,1.729993963035e-09,1.232463718838e-09,6595.4340760000,31.2283810417
50,73,1.616290689232e-09,1.314978851333e-09,7344.9152210000,31.2283810417
47,72,1.410425252910e-09,1.180741541120e-09,6895.2265340000,27.3248334115
48,72,1.380527671143e-09,1.204876675734e-09,7045.1227630000,27.3248334115
46,72,1.274576723985e-09,1.202256357889e-09,6745.3303050000,27.3248334115
92,58,8.652376843303e-11,8.498422847914e-11,13640.5568390000,-27.3248334115
