range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,108,2.320859011886e-09,2.229817419467e-09,7045.1227630000,167.8525480990
48,73,2.217754244813e-09,1.207711066837e-09,7045.1227630000,31.2283810417
47,73,2.206432056801e-09,1.196239924479e-09,6895.2265340000,31.2283810417
46,73,1.976648178252e-09,1.196740581172e-09,6745.3303050000,31.2283810417
49,73,1.904392717742e-09,1.221374356142e-09,7195.0189920000,31.2283810417
45,73,1.586601572492e-09,1.183680656653e-09,6595.4340760000,31.2283810417
50,73,1.555487047722e-09,1.220311370522e-09,7344.9152210000,31.2283810417
87,102,1.528176988958e-09,1.496819261729e-09,12891.0756940000,144.4312623177
86,102,1.438254774641e-09,1.432139490285e-09,12741.1794650000,144.4312623177
48,72,1.262934799866e-09,1.192111675488e-09,7045.1227630000,27.3248334115
47,72,1.252533762877e-09,1.183419817220e-09,6895.2265340000,27.3248334115
77,93,8.530889891380e-10,8.254518876700e-10,11392.1134040000,109.2993336458
