run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.832740,0.356037,0.653352,1.009389,0.118518,0.235204,0.353722,0.306278,3.617445,14
2,0.721407,0.045926,0.461166,0.507092,0.119037,0.230037,0.349074,0.308074,2.015666,14
3,0.738370,0.045148,0.475111,0.520259,0.146130,0.251704,0.397834,0.315500,2.097889,14
4,0.697389,0.042574,0.470074,0.512648,0.143834,0.202981,0.346815,0.293519,1.974537,14
5,0.717463,0.042945,0.519445,0.562390,0.138185,0.224574,0.362759,0.286444,2.055611,14
