range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.691369629342e-09,1.332064611502e-09,6895.2265340000,31.2283810417
48,73,2.580305304124e-09,1.362325550769e-09,7045.1227630000,31.2283810417
46,73,2.381360057531e-09,1.348744056107e-09,6745.3303050000,31.2283810417
49,73,2.159050488761e-09,1.408956147027e-09,7195.0189920000,31.2283810417
45,73,1.895100321389e-09,1.387119120366e-09,6595.4340760000,31.2283810417
50,73,1.697857593715e-09,1.416606872670e-09,7344.9152210000,31.2283810417
47,72,1.533979800294e-09,1.325370326395e-09,6895.2265340000,27.3248334115
46,72,1.496755801856e-09,1.322390442444e-09,6745.3303050000,27.3248334115
89,88,8.926036463710e-10,7.531405164739e-10,13190.8681520000,89.7815954948
88,88,8.465954174699e-10,7.462533305540e-10,13040.9719230000,89.7815954948
