range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,1.910477191303e-09,9.990936434800e-10,7045.1227630000,31.2283810417
47,73,1.895669609803e-09,1.011885036237e-09,6895.2265340000,31.2283810417
49,73,1.637514006226e-09,1.021539128066e-09,7195.0189920000,31.2283810417
46,73,1.551711724577e-09,1.061632027658e-09,6745.3303050000,31.2283810417
50,73,1.301585460379e-09,1.049194996058e-09,7344.9152210000,31.2283810417
48,72,1.260974569969e-09,9.623281565267e-10,7045.1227630000,27.3248334115
47,72,1.256860367566e-09,9.745660848318e-10,6895.2265340000,27.3248334115
45,73,1.185473130997e-09,1.097331762326e-09,6595.4340760000,31.2283810417
49,72,1.071178198116e-09,9.852016547338e-10,7195.0189920000,27.3248334115
46,72,1.045375558502e-09,1.023611177927e-09,6745.3303050000,27.3248334115
