range_bin,doppler_bin,power,threshold,range_m,velocity_mps
25,24,2.439632114458e-09,2.210724096042e-09,3597.5094960000,-160.0454528385
48,73,2.362473528176e-09,1.268647481679e-09,7045.1227630000,31.2283810417
26,24,2.276072310919e-09,2.234276328492e-09,3747.4057250000,-160.0454528385
47,73,2.274972759987e-09,1.288073303225e-09,6895.2265340000,31.2283810417
49,73,2.178651306930e-09,1.258476528805e-09,7195.0189920000,31.2283810417
46,73,1.929927556467e-09,1.301193101286e-09,6745.3303050000,31.2283810417
50,73,1.829534475617e-09,1.245785622074e-09,7344.9152210000,31.2283810417
45,73,1.513081166030e-09,1.275727233353e-09,6595.4340760000,31.2283810417
24,102,1.434697251052e-09,1.317355229234e-09,3447.6132670000,144.4312623177
51,73,1.396357239185e-09,1.212205738279e-09,7494.8114500000,31.2283810417
48,72,1.368201912364e-09,1.256299638024e-09,7045.1227630000,27.3248334115
23,102,1.299570636727e-09,1.275508925563e-09,3297.7170380000,144.4312623177
47,72,1.277839406231e-09,1.272113908610e-09,6895.2265340000,27.3248334115
94,83,3.240193387155e-10,2.639647330851e-10,13940.3492970000,70.2638573438
95,83,3.124851893269e-10,2.327935054274e-10,14090.2455260000,70.2638573438
86,75,2.423541452194e-10,2.407958958242e-10,12741.1794650000,39.0354763021
