range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.461438492395e-09,1.172196790870e-09,6895.2265340000,31.2283810417
48,73,2.403886665641e-09,1.200453442666e-09,7045.1227630000,31.2283810417
46,73,2.083910595712e-09,1.185345081615e-09,6745.3303050000,31.2283810417
49,73,2.042123040761e-09,1.259177427169e-09,7195.0189920000,31.2283810417
50,73,1.669574463418e-09,1.293180146803e-09,7344.9152210000,31.2283810417
45,73,1.607443318170e-09,1.226093146749e-09,6595.4340760000,31.2283810417
47,72,1.439849860322e-09,1.155044147915e-09,6895.2265340000,27.3248334115
48,72,1.323856630905e-09,1.176340005787e-09,7045.1227630000,27.3248334115
46,72,1.258588068359e-09,1.172965784280e-09,6745.3303050000,27.3248334115
49,31,1.254323733799e-09,1.249230167146e-09,7195.0189920000,-132.7206194271
