range_bin,doppler_bin,power,threshold,range_m,velocity_mps
42,122,3.641112187937e-09,3.197208419507e-09,6145.7453890000,222.5022149219
43,122,3.565992225592e-09,3.064081168079e-09,6295.6416180000,222.5022149219
47,73,2.561615870440e-09,1.263393981047e-09,6895.2265340000,31.2283810417
48,73,2.504733761373e-09,1.229024182453e-09,7045.1227630000,31.2283810417
49,73,2.237851348822e-09,1.238045346897e-09,7195.0189920000,31.2283810417
46,73,2.204401812337e-09,1.310496495707e-09,6745.3303050000,31.2283810417
45,73,1.787306227824e-09,1.341789029935e-09,6595.4340760000,31.2283810417
50,73,1.713020055056e-09,1.249592732383e-09,7344.9152210000,31.2283810417
47,72,1.488168162843e-09,1.261867770112e-09,6895.2265340000,27.3248334115
48,72,1.459315895360e-09,1.227802401593e-09,7045.1227630000,27.3248334115
44,73,1.358776041668e-09,1.303651714153e-09,6445.5378470000,31.2283810417
28,29,1.315567774232e-09,1.310523681011e-09,4047.1981830000,-140.5277146875
49,72,1.283013033092e-09,1.235333017576e-09,7195.0189920000,27.3248334115
52,99,9.642863841529e-10,9.499140112098e-10,7644.7076790000,132.7206194271
95,77,1.523225893226e-10,1.384079568933e-10,14090.2455260000,46.8425715625
