range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.572380914935e-09,1.437190022932e-09,6895.2265340000,31.2283810417
48,73,2.413251297074e-09,1.454103947354e-09,7045.1227630000,31.2283810417
46,73,2.351827865509e-09,1.432815638501e-09,6745.3303050000,31.2283810417
49,73,2.059151086305e-09,1.474672800314e-09,7195.0189920000,31.2283810417
45,73,1.966788951576e-09,1.436775695604e-09,6595.4340760000,31.2283810417
48,72,1.643133973297e-09,1.434212033322e-09,7045.1227630000,27.3248334115
47,72,1.643078394744e-09,1.421015631797e-09,6895.2265340000,27.3248334115
50,73,1.618362098226e-09,1.458223149202e-09,7344.9152210000,31.2283810417
49,72,1.487491020563e-09,1.452747611754e-09,7195.0189920000,27.3248334115
44,73,1.442563162371e-09,1.403118512809e-09,6445.5378470000,31.2283810417
92,87,9.265539549389e-10,8.723176097818e-10,13640.5568390000,85.8780478646
