range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.008230800787e-09,1.005885550190e-09,7045.1227630000,31.2283810417
47,73,1.994642470161e-09,1.036972837871e-09,6895.2265340000,31.2283810417
18,95,1.870383510573e-09,1.868556018054e-09,2548.2358930000,117.1064289063
49,73,1.848525841907e-09,9.962879828056e-10,7195.0189920000,31.2283810417
46,73,1.671985540153e-09,1.063620699722e-09,6745.3303050000,31.2283810417
50,73,1.496361149783e-09,9.913030603924e-10,7344.9152210000,31.2283810417
45,73,1.380579941747e-09,1.070595996951e-09,6595.4340760000,31.2283810417
48,72,1.156739143420e-09,1.002821484704e-09,7045.1227630000,27.3248334115
47,72,1.091926733523e-09,1.036270951238e-09,6895.2265340000,27.3248334115
49,72,1.082245841238e-09,9.915806851996e-10,7195.0189920000,27.3248334115
51,73,1.043998665201e-09,9.788908702803e-10,7494.8114500000,31.2283810417
24,77,1.951555812222e-10,1.942672021599e-10,3447.6132670000,46.8425715625
