run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.717740,0.363982,0.698963,1.062945,0.124167,0.232833,0.357000,0.317704,3.573407,11
2,0.796278,0.042481,0.460592,0.503073,0.148759,0.755667,0.904426,0.363889,2.695426,11
3,1.254371,0.042556,0.467000,0.509556,0.146093,0.195371,0.341464,0.285278,2.520019,11
4,0.877018,0.043278,0.549666,0.592944,0.162648,0.201130,0.363778,0.285740,2.245815,11
5,0.738870,0.035741,0.468963,0.504704,0.135000,0.225741,0.360741,0.288629,2.022537,11
