run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.314852,0.375277,0.645130,1.020407,0.132592,0.229315,0.361907,0.312130,3.129389,8
2,1.375815,0.382389,0.495759,0.878148,0.176796,0.206870,0.383666,0.288093,3.053370,8
3,0.722203,0.044611,0.476278,0.520889,0.145870,0.198129,0.343999,0.279055,1.986796,8
4,0.775222,0.039666,0.480092,0.519758,0.146815,0.203667,0.350482,0.281352,2.050055,8
5,0.708408,0.036370,0.475815,0.512185,0.122407,0.217166,0.339573,0.343482,2.025296,8
