run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.293389,3.794815,2.041518,5.836333,0.836334,2.431815,3.268149,2.118703,12.646889,11
2,0.793685,0.037222,0.468907,0.506129,0.128296,0.230315,0.358611,0.298630,2.086796,11
3,0.719889,0.040425,0.466463,0.506888,0.122334,0.208871,0.331205,0.297926,1.980907,11
4,0.716926,0.042426,0.726889,0.769315,0.169482,0.199426,0.368908,0.294333,2.274019,11
5,0.714222,0.041796,0.470926,0.512722,0.193315,0.202741,0.396056,0.289908,2.038111,11
