run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.258981,0.355204,1.480018,1.835222,0.186834,0.235981,0.422815,0.306203,3.944333,9
2,0.834203,0.040167,0.482834,0.523001,0.152852,0.209796,0.362648,0.297204,2.146611,9
3,0.733834,0.046575,0.495444,0.542019,0.140926,0.198537,0.339463,0.284907,2.019037,9
4,0.780074,0.036722,0.487537,0.524259,0.147130,0.200518,0.347648,0.286389,2.061426,9
5,0.733722,0.041074,0.472740,0.513814,0.119334,0.263167,0.382501,0.301852,2.054074,9
