range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.771198167343e-09,1.337249660154e-09,7045.1227630000,31.2283810417
47,73,2.650166455265e-09,1.359493230320e-09,6895.2265340000,31.2283810417
49,73,2.497722856662e-09,1.362916244218e-09,7195.0189920000,31.2283810417
46,73,2.199097941090e-09,1.422525845574e-09,6745.3303050000,31.2283810417
50,73,1.997488855135e-09,1.411605312738e-09,7344.9152210000,31.2283810417
48,72,1.662955969530e-09,1.368407111894e-09,7045.1227630000,27.3248334115
47,72,1.590430843715e-09,1.392353645795e-09,6895.2265340000,27.3248334115
45,73,1.560103899287e-09,1.459249767584e-09,6595.4340760000,31.2283810417
49,72,1.482819415245e-09,1.389791849752e-09,7195.0189920000,27.3248334115
37,89,6.619505334347e-10,5.860117447819e-10,5396.2642440000,93.6851431250
36,89,5.974143648461e-10,5.345492954267e-10,5246.3680150000,93.6851431250
