range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.920229209668e-09,1.541916565965e-09,6895.2265340000,31.2283810417
48,73,2.771814564103e-09,1.556698301730e-09,7045.1227630000,31.2283810417
46,73,2.547104287119e-09,1.546995114000e-09,6745.3303050000,31.2283810417
49,73,2.404699734028e-09,1.595865218333e-09,7195.0189920000,31.2283810417
45,73,2.004385012397e-09,1.575036635637e-09,6595.4340760000,31.2283810417
50,73,1.903598200494e-09,1.588876927451e-09,7344.9152210000,31.2283810417
47,72,1.847172166250e-09,1.532886876055e-09,6895.2265340000,27.3248334115
48,72,1.728905026486e-09,1.551466877006e-09,7045.1227630000,27.3248334115
46,72,1.607693706504e-09,1.536666350611e-09,6745.3303050000,27.3248334115
94,77,1.302639610386e-10,1.247764495152e-10,13940.3492970000,46.8425715625
