range_bin,doppler_bin,power,threshold,range_m,velocity_mps
33,111,3.672045741734e-09,3.640165186188e-09,4796.6793280000,179.5631909896
34,111,3.476352976440e-09,3.465960385219e-09,4946.5755570000,179.5631909896
59,7,3.119159586156e-09,2.704772051979e-09,8693.9812820000,-226.4057625521
60,7,2.794624682760e-09,2.709775521736e-09,8843.8775110000,-226.4057625521
47,73,1.735680810365e-09,9.542716119716e-10,6895.2265340000,31.2283810417
48,73,1.690314485711e-09,9.716622909516e-10,7045.1227630000,31.2283810417
46,73,1.492894434419e-09,9.623578763782e-10,6745.3303050000,31.2283810417
49,73,1.449065813698e-09,1.009893537969e-09,7195.0189920000,31.2283810417
50,73,1.179481740773e-09,1.024655375839e-09,7344.9152210000,31.2283810417
45,73,1.148083377588e-09,9.688375606247e-10,6595.4340760000,31.2283810417
47,72,1.105382503410e-09,9.219681279664e-10,6895.2265340000,27.3248334115
48,72,1.063255894711e-09,9.416918588526e-10,7045.1227630000,27.3248334115
46,72,9.632936030545e-10,9.273464688042e-10,6745.3303050000,27.3248334115
