range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.023390889160e-09,1.057668626430e-09,7045.1227630000,31.2283810417
47,73,1.969005423255e-09,1.041256280310e-09,6895.2265340000,31.2283810417
49,73,1.856622279257e-09,1.099279785284e-09,7195.0189920000,31.2283810417
46,73,1.557304194386e-09,1.039910122840e-09,6745.3303050000,31.2283810417
50,73,1.545713620903e-09,1.125153633482e-09,7344.9152210000,31.2283810417
51,73,1.258933785584e-09,1.109800243404e-09,7494.8114500000,31.2283810417
48,72,1.258270694048e-09,1.032695437294e-09,7045.1227630000,27.3248334115
49,72,1.210883471750e-09,1.068215610202e-09,7195.0189920000,27.3248334115
26,27,1.191490124431e-09,1.168035864538e-09,3747.4057250000,-148.3348099479
45,73,1.178027889042e-09,1.034556268224e-09,6595.4340760000,31.2283810417
47,72,1.167715296525e-09,1.022119774034e-09,6895.2265340000,27.3248334115
18,25,8.885759362707e-10,7.421650445598e-10,2548.2358930000,-156.1419052083
19,25,8.202820132891e-10,7.918473863440e-10,2698.1321220000,-156.1419052083
92,83,3.408433896744e-10,3.308308215646e-10,13640.5568390000,70.2638573438
91,83,3.400884312144e-10,3.381900085754e-10,13490.6606100000,70.2638573438
