range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.089030285921e-09,1.190604520194e-09,6895.2265340000,31.2283810417
46,73,1.963388284826e-09,1.198963303198e-09,6745.3303050000,31.2283810417
48,73,1.924680375960e-09,1.180570707924e-09,7045.1227630000,31.2283810417
45,73,1.770839948162e-09,1.194605204980e-09,6595.4340760000,31.2283810417
49,73,1.608189505074e-09,1.168898227321e-09,7195.0189920000,31.2283810417
44,73,1.456729271994e-09,1.156821467433e-09,6445.5378470000,31.2283810417
47,72,1.269286283947e-09,1.141583976192e-09,6895.2265340000,27.3248334115
50,73,1.226454953951e-09,1.136034617765e-09,7344.9152210000,31.2283810417
48,72,1.223656026717e-09,1.131448912863e-09,7045.1227630000,27.3248334115
46,72,1.155171065970e-09,1.152367683141e-09,6745.3303050000,27.3248334115
