range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.334735632687e-09,1.057470871853e-09,7045.1227630000,31.2283810417
47,73,2.262409608204e-09,1.109569840801e-09,6895.2265340000,31.2283810417
49,73,2.031896258592e-09,1.052581096026e-09,7195.0189920000,31.2283810417
46,73,1.830888251004e-09,1.181636412123e-09,6745.3303050000,31.2283810417
50,73,1.567556419744e-09,1.071725238750e-09,7344.9152210000,31.2283810417
45,73,1.347076228931e-09,1.224841940236e-09,6595.4340760000,31.2283810417
48,72,1.152746937988e-09,1.030602694829e-09,7045.1227630000,27.3248334115
47,72,1.128303214071e-09,1.071589660112e-09,6895.2265340000,27.3248334115
37,86,7.561486076398e-10,6.848773020064e-10,5396.2642440000,81.9745002344
73,54,3.535853277487e-10,3.189359285794e-10,10792.5284880000,-42.9390239323
