range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.414263800844e-09,1.302342655466e-09,7045.1227630000,31.2283810417
47,73,2.408026856670e-09,1.286937346165e-09,6895.2265340000,31.2283810417
49,73,2.093760999415e-09,1.345629373057e-09,7195.0189920000,31.2283810417
46,73,2.015249703719e-09,1.324458782092e-09,6745.3303050000,31.2283810417
50,73,1.719761951562e-09,1.377298537542e-09,7344.9152210000,31.2283810417
47,72,1.609320987643e-09,1.289736883498e-09,6895.2265340000,27.3248334115
48,72,1.608497914051e-09,1.308674720346e-09,7045.1227630000,27.3248334115
45,73,1.496590611412e-09,1.356895403369e-09,6595.4340760000,31.2283810417
49,72,1.392711759687e-09,1.354605889259e-09,7195.0189920000,27.3248334115
46,72,1.344231296488e-09,1.318702361981e-09,6745.3303050000,27.3248334115
95,114,8.995768969323e-10,6.845401069328e-10,14090.2455260000,191.2738338802
