run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.302426,2.805185,2.660444,5.465629,0.845926,1.812871,2.658797,2.416111,11.974704,15
2,0.758834,0.037611,0.582074,0.619685,0.137056,0.208093,0.345149,0.299055,2.153981,15
3,0.722759,0.042797,0.479000,0.521797,0.145037,0.202018,0.347055,0.285315,1.996852,15
4,0.848204,0.043981,0.494092,0.538073,0.151741,0.203370,0.355111,0.284426,2.149000,15
5,0.740093,0.037778,0.484222,0.522000,0.119889,0.625074,0.744963,0.409648,2.539685,15
