run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.876981,0.417148,0.724166,1.141314,0.123445,0.230352,0.353797,0.309926,3.857112,10
2,0.745796,0.044685,0.454593,0.499278,0.124944,0.222334,0.347278,0.303389,2.027000,10
3,0.812889,0.410722,0.487796,0.898518,0.182111,0.238741,0.420852,0.295870,2.588500,10
4,1.019334,0.037963,0.472888,0.510851,0.569518,0.486963,1.056481,0.302222,3.282019,10
5,2.669278,3.996778,1.703111,5.699889,0.876352,2.509445,3.385797,1.957259,13.855334,10
