range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.199896629007e-09,1.149490139650e-09,6895.2265340000,31.2283810417
48,73,2.181627274488e-09,1.164728049736e-09,7045.1227630000,31.2283810417
46,73,2.010305804162e-09,1.155659410162e-09,6745.3303050000,31.2283810417
49,73,1.887396451611e-09,1.201181369845e-09,7195.0189920000,31.2283810417
45,73,1.631010219563e-09,1.166696882734e-09,6595.4340760000,31.2283810417
50,73,1.457505614458e-09,1.218985543647e-09,7344.9152210000,31.2283810417
47,72,1.291700300659e-09,1.117541325629e-09,6895.2265340000,27.3248334115
48,72,1.259495961363e-09,1.137724910745e-09,7045.1227630000,27.3248334115
46,72,1.165206595092e-09,1.117087220771e-09,6745.3303050000,27.3248334115
44,73,1.155397768788e-09,1.152407665785e-09,6445.5378470000,31.2283810417
