run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.169241,0.364037,0.654741,1.018778,0.125056,0.234648,0.359704,0.312982,2.976260,10
2,1.289741,0.052907,0.485833,0.538740,0.932537,0.592944,1.525481,0.318833,3.830500,10
3,0.729482,5.008055,2.035945,7.044000,0.791555,1.895000,2.686555,2.233445,12.836463,10
4,0.679093,2.439019,1.870018,4.309037,0.732944,0.238759,0.971703,0.296834,6.408592,10
5,0.664593,0.049186,0.491297,0.540483,0.132333,0.205796,0.338129,0.299204,1.965463,10
