run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,2.401685,0.539703,0.663963,1.203666,0.115870,0.272518,0.388388,0.317852,4.431056,15
2,0.848204,0.040537,0.488037,0.528574,0.126222,0.222814,0.349036,0.287926,2.144500,15
3,0.719296,0.038111,0.816741,0.854852,0.181463,0.207370,0.388833,0.285278,2.373685,15
4,0.720296,0.040815,0.467796,0.508611,0.142185,0.202333,0.344518,0.284389,1.980963,15
5,0.767648,0.036092,0.472648,0.508740,0.140630,0.204185,0.344815,0.277870,2.020055,15
