range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.711845162809e-09,1.417082571962e-09,6895.2265340000,31.2283810417
48,73,2.635173872184e-09,1.410173963416e-09,7045.1227630000,31.2283810417
46,73,2.351834758695e-09,1.451564629402e-09,6745.3303050000,31.2283810417
49,73,2.242836112626e-09,1.437727588395e-09,7195.0189920000,31.2283810417
53,111,2.141912246434e-09,2.110619254131e-09,7794.6039080000,179.5631909896
45,73,1.941575473555e-09,1.493096704535e-09,6595.4340760000,31.2283810417
75,100,1.768170382917e-09,1.651581704554e-09,11092.3209460000,136.6241670573
50,73,1.742679106298e-09,1.455821172769e-09,7344.9152210000,31.2283810417
47,72,1.718681408951e-09,1.380231687043e-09,6895.2265340000,27.3248334115
76,100,1.677866895789e-09,1.652482961848e-09,11242.2171750000,136.6241670573
48,72,1.658319898421e-09,1.386646629376e-09,7045.1227630000,27.3248334115
54,104,1.605817969422e-09,1.268806786509e-09,7944.5001370000,152.2383575781
90,31,1.563464839382e-09,1.520757030652e-09,13340.7643810000,-132.7206194271
46,72,1.471226686738e-09,1.403121964908e-09,6745.3303050000,27.3248334115
55,104,1.463983554759e-09,1.328954753072e-09,8094.3963660000,152.2383575781
65,84,8.100750041629e-10,7.965886824263e-10,9593.3586560000,74.1674049740
50,91,6.593126308394e-10,6.344754983479e-10,7344.9152210000,101.4922383854
