range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.228895563876e-09,1.165150741446e-09,7045.1227630000,31.2283810417
47,73,2.176433017398e-09,1.171442826071e-09,6895.2265340000,31.2283810417
49,73,2.059083171774e-09,1.178717343940e-09,7195.0189920000,31.2283810417
46,73,1.786104774409e-09,1.191428419164e-09,6745.3303050000,31.2283810417
50,73,1.734164245388e-09,1.182164861359e-09,7344.9152210000,31.2283810417
45,73,1.360918642844e-09,1.201681456862e-09,6595.4340760000,31.2283810417
51,73,1.331957569896e-09,1.142418258926e-09,7494.8114500000,31.2283810417
48,72,1.230368867241e-09,1.160309550783e-09,7045.1227630000,27.3248334115
47,72,1.206690363247e-09,1.161338415818e-09,6895.2265340000,27.3248334115
24,87,7.184048789571e-10,6.265988116995e-10,3447.6132670000,85.8780478646
25,87,6.490482247661e-10,6.319902694886e-10,3597.5094960000,85.8780478646
73,49,6.296817240351e-10,4.711376031009e-10,10792.5284880000,-62.4567620833
64,82,5.451584812797e-10,4.682079312354e-10,9443.4624270000,66.3603097135
74,49,5.426333158444e-10,4.845689878472e-10,10942.4247170000,-62.4567620833
72,49,5.253286801544e-10,4.919338171863e-10,10642.6322590000,-62.4567620833
63,82,5.017051263583e-10,4.682721225871e-10,9293.5661980000,66.3603097135
