range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.015517733992e-09,1.101299932613e-09,7045.1227630000,31.2283810417
47,73,1.946144727505e-09,1.097444649115e-09,6895.2265340000,31.2283810417
49,73,1.833289296373e-09,1.106461361805e-09,7195.0189920000,31.2283810417
46,73,1.695513299220e-09,1.094605095638e-09,6745.3303050000,31.2283810417
50,73,1.550200635446e-09,1.106088000601e-09,7344.9152210000,31.2283810417
45,73,1.356153318006e-09,1.075286172849e-09,6595.4340760000,31.2283810417
51,73,1.176645665202e-09,1.071895829198e-09,7494.8114500000,31.2283810417
